regime,traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
TBPTT,957,2.213337981161415e-05,0.002788419902572059,4.5600000000000005,74.84662576687117,-10.005449135096088,,0.32999999999999996,1.41,1.2,1.41,2.46,3.72
TBPTT,961,0.00023887804218791474,0.0021710326917656064,3.21,97.54601226993866,14.669703387678895,77.91811511232325,0.09,0.21,0.18,0.21,0.6900000000000001,
TBPTT,965,8.414926314596304e-05,0.0026078406644955976,4.08,88.34355828220859,-2.5266310895538395,566615595.6243591,0.24,0.6900000000000001,0.63,0.6900000000000001,2.31,3.0
TBPTT,971,2.1741143387368572e-05,0.001038147152242208,4.0200000000000005,84.66257668711657,-39.72494623851615,,0.18,0.87,0.81,0.87,1.77,2.49
TBPTT,991,4.97009211412695e-05,0.002790918020764366,4.83,83.43558282208589,-5.711215047700913,,0.21,1.05,0.87,1.05,2.4,3.36
TBPTT,1030,0.00010957197171201368,0.0009972485265991038,3.3000000000000003,93.86503067484662,-52.39457556872311,410588.43795470375,0.18,0.39,0.36,0.39,0.81,1.02
TBPTT,1047,2.462559582372812e-05,0.001070748507553565,3.93,85.88957055214723,-43.78730083420667,,0.18,0.81,0.75,0.81,1.68,2.7600000000000002
TBPTT,1072,9.757816953284617e-05,0.0009163873922898302,3.39,93.25153374233129,-38.41302643755746,1325793.3764191195,0.18,0.42,0.39,0.42,0.9,1.2
TBPTT,1082,3.0164263810487495e-05,0.001002185154970997,3.84,87.11656441717791,-27.77654298229454,,0.21,0.78,0.6900000000000001,0.78,2.4,2.94
TBPTT,1085,1.84298276579162e-05,0.0019243467722844798,3.48,78.52760736196319,-37.25223596695229,,0.21,1.41,1.11,1.41,2.31,3.39
TBPTT,1087,2.6404227704857648e-05,0.0012788895546691492,3.21,82.20858895705521,-33.136399201258584,,0.24,1.11,0.93,1.11,2.25,3.21
TBPTT,1091,7.271881141190742e-05,0.0014258731898735277,3.54,93.86503067484662,-62.09923339401754,712325.1728479265,0.15,0.39,0.36,0.39,0.84,1.2
TBPTT,1110,1.6440166285487297e-05,0.0021084917771077016,4.65,75.4601226993865,-11.008824075004643,,0.18,1.5,1.2,1.5,2.4,3.48
TBPTT,1118,1.979717191727116e-05,0.0019170929463143693,4.5600000000000005,78.52760736196319,-17.680958954881945,,0.15,1.41,1.11,1.41,2.34,3.39
TBPTT,1178,5.239062730394178e-05,0.0017382937057845993,4.17,87.11656441717791,-18.05684211285547,3027196691.4512825,0.32999999999999996,0.78,0.6900000000000001,0.78,2.49,3.27
TBPTT,1186,2.9386477627605404e-05,0.001084604264178779,2.7600000000000002,86.50306748466258,-41.59890451380764,,0.12,0.81,0.72,0.81,2.22,2.7600000000000002
TBPTT,1192,4.8569104601374324e-05,0.0017251993576792302,4.26,85.88957055214723,-5.3080863139524785,,0.27,0.96,0.75,0.96,2.58,3.36
TBPTT,1197,0.00013837662249705334,0.003517470831866376,3.9,90.79754601226993,1.38090450594745,26096686.260586597,0.18,0.5700000000000001,0.51,0.5700000000000001,1.77,2.73
TBPTT,1237,4.0072901299698e-05,0.0014600242629967397,4.2,84.04907975460122,-11.984601840711438,,0.3,0.93,0.81,0.93,2.67,3.63
TBPTT,1280,1.3942161946465328e-05,0.0010925036796570198,4.29,82.20858895705521,-73.38911569869475,,0.24,1.02,0.93,1.02,1.68,2.04
TBPTT,1281,1.1814425989127327e-05,0.001750143310346175,3.5700000000000003,77.91411042944786,-67.83531054878064,,0.21,1.3800000000000001,1.1400000000000001,1.3800000000000001,2.37,2.7600000000000002
