regime,traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
TBPTT,3,9.431105683475302e-05,0.0025220691750291735,3.9,90.1840490797546,-3.516957772022478,92827694.0853937,0.21,0.6,0.54,0.6,2.22,2.82
TBPTT,13,2.2235025348375515e-05,0.0031320796952059027,4.5600000000000005,74.23312883435582,-7.983202110884819,,0.39,1.41,1.29,1.41,2.5500000000000003,3.63
TBPTT,39,0.00011418779450547439,0.003213648324162932,3.99,89.57055214723927,0.818759552441432,126645086.96985261,0.21,0.66,0.5700000000000001,0.66,1.86,2.91
TBPTT,49,3.003960316008174e-05,0.0012653272697207285,4.11,86.50306748466258,-52.26490673778854,,0.18,0.81,0.72,0.81,2.1,3.0300000000000002
TBPTT,57,0.00018879747949972624,0.002030529524095895,3.12,98.15950920245399,-37.049792563056656,102.62872839838697,0.15,0.15,0.15,0.15,0.36,0.54
TBPTT,58,1.74273317481886e-05,0.001694603275609552,4.65,77.91411042944786,-25.602545081056068,,0.15,1.41,1.1400000000000001,1.41,2.37,3.48
TBPTT,104,2.9346457988689165e-05,0.0012296215209062211,3.12,82.82208588957056,-27.461000953249034,,0.21,1.11,0.9,1.11,2.25,3.12
TBPTT,108,0.0001471451174626122,0.003614276169173536,3.81,91.41104294478528,4.202970956824365,9843915.219572099,0.18,0.51,0.48,0.51,1.68,2.64
TBPTT,112,5.989417253775512e-05,0.0020737768572871573,3.87,89.57055214723927,-40.55347818016668,515423075.74986273,0.36,0.66,0.5700000000000001,0.66,1.47,3.0300000000000002
TBPTT,136,0.00010191397562397783,0.0028188471605972154,3.9,90.79754601226993,-1.8578482394612894,47727143.838531084,0.18,0.5700000000000001,0.51,0.5700000000000001,2.13,2.82
TBPTT,179,0.00017464955188609358,0.0038953943776505184,3.81,91.41104294478528,2.0423910609404032,7457034.968529273,0.18,0.51,0.48,0.51,1.62,2.61
TBPTT,183,3.234269700845457e-05,0.0016835321785038104,4.11,85.88957055214723,-54.68169939361045,,0.54,0.84,0.75,0.84,1.8900000000000001,3.0300000000000002
TBPTT,189,0.000254761801576229,0.0018118458646447788,3.12,98.15950920245399,11.754104574464316,36.68620173757506,0.09,0.15,0.15,0.15,0.42,0.84
TBPTT,194,0.0001646375077257872,0.0037437196251630667,4.83,92.63803680981596,-1.0835528744276721,973118.0645802631,0.18,0.45,0.42,0.45,1.59,2.04
TBPTT,195,1.429696804776376e-05,0.0011283574449352657,4.29,82.82208588957056,-109.95445346945297,,0.18,0.99,0.9,0.99,1.6500000000000001,1.8900000000000001
TBPTT,196,2.229125123808631e-05,0.0018035691045952262,4.5600000000000005,78.52760736196319,-9.405117359341467,,0.15,1.32,1.11,1.32,2.37,3.39
TBPTT,197,2.1648560387566124e-05,0.0021071365827083355,4.5600000000000005,77.91411042944786,-10.345654723703564,,0.24,1.41,1.11,1.41,2.43,4.11
TBPTT,208,0.00023687815854190732,0.0018017980342825424,3.15,98.15950920245399,5.473844840970252,77.9496414565863,0.12,0.18,0.15,0.18,0.42,0.75
TBPTT,217,9.480868155006228e-05,0.0015409781408379786,3.48,94.47852760736197,-50.271739946126566,59769.73162648216,0.15,0.36,0.33,0.36,0.75,1.02
TBPTT,225,9.541484755439808e-05,0.002583693895758188,3.63,92.63803680981596,-19.898798990615784,2311764.941736263,0.24,0.45,0.42,0.45,1.02,2.5500000000000003
TBPTT,229,0.00035880783088180004,0.00318734015309019,1.59,98.15950920245399,34.60709561244586,-70.48943872740875,0.06,0.15,0.15,0.15,0.6,
TBPTT,258,0.00011056273440995084,0.0031992582062230213,3.9,90.1840490797546,0.14519525517439422,35841246.450622916,0.18,0.5700000000000001,0.51,0.5700000000000001,2.13,2.82
TBPTT,322,0.00011678082753659279,0.0033705242512951372,3.99,89.57055214723927,-0.22519156036741209,82471557.99673752,0.21,0.66,0.5700000000000001,0.66,1.86,2.82
TBPTT,389,0.000172530215942584,0.0032636396208545193,3.5700000000000003,94.47852760736197,0.5350630105247414,27927.143632682888,0.12,0.39,0.33,0.39,1.32,2.4
TBPTT,426,0.0004498774236643402,0.0048898148406806285,3.27,96.93251533742331,20.467163748769185,-5.16805696296972,0.09,0.24,0.21,0.24,0.78,2.04
TBPTT,447,6.114496506179737e-05,0.0022924683398741763,4.44,84.66257668711657,-4.859105035087589,,0.24,0.96,0.78,0.96,2.31,3.27
TBPTT,464,1.7895438783154068e-05,0.0016030877886805683,3.48,78.52760736196319,-43.99802996241784,,0.21,1.41,1.11,1.41,2.34,3.0300000000000002
TBPTT,477,3.1180202687035466e-05,0.003110134810413001,4.38,76.68711656441718,-5.865669314003391,,0.32999999999999996,1.32,1.11,1.32,2.49,3.54
TBPTT,573,5.5364813114321676e-05,0.00102084717662837,3.5700000000000003,91.41104294478528,-32.92009883002037,31029306.14019358,0.18,0.51,0.48,0.51,1.11,3.48
TBPTT,605,2.1785378759859663e-05,0.0012311172995396191,4.3500000000000005,82.82208588957056,-40.080351604943566,,0.24,0.99,0.9,0.99,2.13,2.52
TBPTT,609,2.0357981431640894e-05,0.0026511528940318385,4.5600000000000005,74.84662576687117,-11.051069521110328,,0.3,1.41,1.2,1.41,2.46,3.72
TBPTT,623,2.220243732098893e-05,0.0015014102282293607,3.3000000000000003,80.98159509202453,-46.85673142130057,,0.3,1.2,0.99,1.2,2.19,2.61
TBPTT,687,6.303941228128193e-05,0.00234052777159377,4.26,86.50306748466258,-3.3548769101073765,3233976803.5687156,0.21,0.84,0.72,0.84,2.4,3.27
TBPTT,698,0.0001250607646212212,0.0018154724493797403,3.3000000000000003,96.31901840490798,-106.52020070527813,1605.6499840422573,0.15,0.27,0.24,0.27,0.54,0.66
TBPTT,709,1.710740675834697e-05,0.0019273631041869521,4.65,76.07361963190183,-13.488364270183471,,0.21,1.47,1.2,1.47,2.4,3.48
TBPTT,711,0.00017450481309972153,0.003035806916159345,4.68,95.0920245398773,-9.036274567403295,1055.716491764918,0.12,0.33,0.3,0.33,1.1400000000000001,1.86
TBPTT,745,7.73111275346047e-05,0.002322238660781295,4.08,88.95705521472392,-5.3843089007847444,471449247.1211513,0.24,0.66,0.6,0.66,2.5500000000000003,3.0
TBPTT,770,1.4328068847245292e-05,0.0017494063395133708,3.39,79.14110429447852,-80.58153430528166,,0.21,1.2,1.08,1.2,2.43,2.67
TBPTT,815,3.373033327977615e-05,0.0026226625877825427,4.38,79.75460122699387,-10.506007160279033,,0.24,1.23,1.02,1.23,2.4,3.63
TBPTT,824,9.760779542178232e-05,0.0029050344091956504,3.99,89.57055214723927,-0.8464922484495484,129266946.05041516,0.21,0.66,0.5700000000000001,0.66,2.22,2.91
TBPTT,860,0.0005094780204648008,0.004261057110852562,4.5,96.93251533742331,25.477197336012075,-35.7527915052889,0.09,0.21,0.21,0.21,0.6,
TBPTT,871,3.32968037149049e-05,0.0026373740247436217,4.38,79.75460122699387,-11.163306986405313,,0.27,1.23,1.02,1.23,2.4,3.63
TBPTT,876,4.497637786583302e-05,0.0011685103563650046,3.81,90.79754601226993,-59.423052115863726,44391783.86025872,0.18,0.54,0.51,0.54,1.11,2.37
TBPTT,891,6.147640092229415e-05,0.0031373324345622677,4.65,83.43558282208589,-1.9097730603809375,,0.21,0.96,0.84,0.96,2.25,3.18
TBPTT,899,2.2264064439044103e-05,0.0011531600640073449,3.93,87.73006134969326,-86.20274128096739,,0.15,0.72,0.66,0.72,1.5,1.86
TBPTT,910,9.452096668691549e-05,0.0020067852492502425,3.63,93.25153374233129,-14.969890181525182,2354509.3588114204,0.15,0.45,0.39,0.45,0.93,2.64
TBPTT,944,0.0002862080584823501,0.0039041966210788814,4.59,95.70552147239263,13.658492468361253,-45.249336577445625,0.12,0.3,0.27,0.3,1.05,2.04
