=== beamsurrogate [run] run_id=p3_pinn_0 model=mlp regime=pushforward stabilizer=none dataset=simple features=['U'] ===
[mem] start: 0.58 Go
Loaded 2000 trajectories from /home/aph25/Code_GH/data/beam_dataset_simple.h5
Split distribution (from dataset):
  train : 1817 simulations (90.8 %)
  val   :   84 simulations (4.2 %)
  test  :   99 simulations (5.0 %)
[mem] after load_hdf5_dataset: 28.96 Go
[mem] after compute_norm_stats: 28.96 Go
MLP(
  (net): Sequential(
    (0): Linear(in_features=69, out_features=512, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): GELU(approximate='none')
    (4): Linear(in_features=256, out_features=64, bias=True)
    (5): GELU(approximate='none')
    (6): Linear(in_features=64, out_features=2, bias=True)
  )
)
Parameters: 183,746
[mem] after make_dataloaders: 54.62 Go
[mem] after trimming df to test split: 28.18 Go
Epoch   89/100  --  data: 0.0013  |  pushforward: 0.0127  |  physics: 0.0000  |  comparable loss (val): 0.0516
Epoch   90/100  --  data: 0.0013  |  pushforward: 0.0115  |  physics: 0.0000  |  comparable loss (val): 0.0071
Epoch   91/100  --  data: 0.0014  |  pushforward: 0.0135  |  physics: 0.0000  |  comparable loss (val): 0.0011
Epoch   92/100  --  data: 0.0013  |  pushforward: 0.0130  |  physics: 0.0000  |  comparable loss (val): 0.0146
Epoch   93/100  --  data: 0.0012  |  pushforward: 0.0106  |  physics: 0.0000  |  comparable loss (val): 0.0120
Epoch   94/100  --  data: 0.0011  |  pushforward: 0.0102  |  physics: 0.0000  |  comparable loss (val): 0.0058
Epoch   95/100  --  data: 0.0012  |  pushforward: 0.0111  |  physics: 0.0000  |  comparable loss (val): 0.0023
Epoch   96/100  --  data: 0.0013  |  pushforward: 0.0113  |  physics: 0.0000  |  comparable loss (val): 0.0028
Epoch   97/100  --  data: 0.0011  |  pushforward: 0.0101  |  physics: 0.0000  |  comparable loss (val): 0.0021
Epoch   98/100  --  data: 0.0012  |  pushforward: 0.0112  |  physics: 0.0000  |  comparable loss (val): 0.0473
Epoch   99/100  --  data: 0.0013  |  pushforward: 0.0123  |  physics: 0.0000  |  comparable loss (val): 0.0015
Epoch  100/100  --  data: 0.0012  |  pushforward: 0.0105  |  physics: 0.0000  |  comparable loss (val): 0.0083
Best model reloaded -- minimum comparable loss (val): 0.001098
[mem] after training: 28.46 Go
[mem] after evaluate_one_step: 28.55 Go
[mem] after rollout + benchmark: 28.55 Go
Done -- outputs in runs/p3/p3_pinn_0
RUN DONE: runs/p3/p3_pinn_0/config.yaml
